t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,r_m,E_spec
25.0,6768286.063937863,119089.19876446984,150253.17464400252,-217.1003174557141,4762.293898348862,6008.519531900346,6771000.99668051,-29392872.140006095
26.0,6768064.622775246,123851.41628487495,156261.59781092068,-225.78186559995098,4762.1380882125995,6008.322948433011,6771001.078003756,-29392872.140005883
27.0,6767834.500206663,128613.47494089503,162269.82054086856,-234.46312381453694,4761.976169680986,6008.118658088789,6771001.16251521,-29392872.140005633
28.0,6767595.696527618,133375.36862423693,168277.83512709825,-243.14408095176947,4761.808142962399,6007.906661130588,6771001.25021476,-29392872.140005387
29.0,6767348.212044761,138137.09122681984,174285.6338631297,-251.82472586433522,4761.634008273079,6007.686957831235,6771001.3411022965,-29392872.140005127
30.0,6767092.047075889,142898.6366407831,180293.2090427607,-260.5050474053244,4761.453765837128,6007.4595484734755,6771001.435177701,-29392872.14000487
31.0,6766827.201949949,147659.9987584941,186300.55296007663,-269.18503442824516,4761.267415886507,6007.22443334997,6771001.532440852,-29392872.140004598
32.0,6766553.677007033,152421.1714725561,192307.65790946063,-277.86467578703815,4761.074958661035,6006.9816127632985,6771001.632891627,-29392872.140004322
33.0,6766271.472598375,157182.14867581616,198314.51618560325,-286.5439603360908,4760.876394408395,6006.731087025955,6771001.736529895,-29392872.14000404
34.0,6765980.58908636,161942.92426137291,204321.12008351253,-295.2228769302516,4760.671723384125,6006.472856460352,6771001.843355525,-29392872.14000373
35.0,6765681.0268445145,166703.49212258443,210327.46189852394,-303.9014144248448,4760.460945851623,6006.206921398814,6771001.953368378,-29392872.140003428
36.0,6765372.78625751,171463.84615307619,216333.53392631016,-312.5795616756847,4760.244062082149,6005.933282183584,6771002.066568312,-29392872.140003122
37.0,6765055.867721163,176223.98024674875,222339.3284628911,-321.2573075390899,4760.021072354817,6005.651939166819,6771002.182955184,-29392872.1400028
38.0,6764730.271642432,180983.8882977858,228344.83780464382,-329.93464087189784,4759.7919769566015,6005.362892710588,6771002.302528843,-29392872.140002474
39.0,6764395.998439418,185743.56420066193,234350.05424831228,-338.6115505314793,4759.556776182333,6005.0661431868775,6771002.425289136,-29392872.14000213
40.0,6764053.048541368,190503.00185015047,240354.97009101755,-347.28802537575257,4759.315470334701,6004.761690977583,6771002.551235906,-29392872.14000178
41.0,6763701.422388667,195262.19514133132,246359.57763026745,-355.964054263198,4759.06805972425,6004.449536474517,6771002.680368991,-29392872.140001416
42.0,6763341.1204328425,200021.13796959896,252363.8691639666,-364.6396260528725,4758.814544669382,6004.129680079402,6771002.812688224,-29392872.140001036
43.0,6762972.143136562,204779.82423067008,258367.83699042627,-373.3147296044236,4758.5549254963535,6003.802122203871,6771002.948193436,-29392872.14000066
44.0,6762594.490973633,209538.24782059164,264371.47340837435,-381.9893537781042,4758.2892025392775,6003.46686326947,6771003.086884452,-29392872.140000276
45.0,6762208.164429005,214296.40263574861,270374.7707169652,-390.6634874347869,4758.017376140123,6003.123903707657,6771003.228761095,-29392872.13999989
46.0,6761813.163998764,219054.28257287186,276377.7212157897,-399.3371194359781,4757.739446648712,6002.773243959797,6771003.373823183,-29392872.13999948
47.0,6761409.490190133,223811.88152904602,282380.31720488484,-408.01023864383285,4757.455414422722,6002.414884477166,6771003.522070529,-29392872.13999906
48.0,6760997.143521477,228569.19340171732,288382.550984744,-416.68283392116894,4757.165279827685,6002.04882572095,6771003.673502943,-29392872.13999864
