t_s,x_m,y_m,vx_mps,vy_mps,r_m,E_spec
39.0,6764395.998439418,299032.8068425809,-338.6115505314793,7662.519173858719,6771002.425289135,-29392872.140002128
40.0,6764053.048541368,306695.13423165417,-347.28802537575257,7662.130690062602,6771002.551235906,-29392872.14000177
41.0,6763701.422388667,314357.06822270615,-355.964054263198,7661.732378069375,6771002.680368991,-29392872.140001405
42.0,6763341.1204328425,322018.5989877929,-364.6396260528725,7661.32423839164,6771002.812688224,-29392872.14000103
43.0,6762972.143136562,329679.71669948945,-373.3147296044236,7660.906271554647,6771002.948193436,-29392872.140000653
44.0,6762594.490973633,337340.41153090226,-381.9893537781042,7660.478478096291,6771003.086884451,-29392872.14000027
45.0,6762208.164429005,345000.67365568207,-390.6634874347869,7660.040858567115,6771003.228761095,-29392872.139999874
46.0,6761813.163998764,352660.4932480365,-399.3371194359781,7659.593413530306,6771003.373823183,-29392872.139999468
47.0,6761409.490190133,360319.86048274266,-408.01023864383285,7659.136143561696,6771003.522070529,-29392872.139999047
48.0,6760997.143521477,367978.76553515985,-416.68283392116894,7658.669049249763,6771003.673502943,-29392872.13999863
49.0,6760576.124522291,375637.1985812422,-425.3548941314814,7658.192131195625,6771003.82812023,-29392872.139998194
50.0,6760146.433733214,383295.1497975511,-434.0264081389568,7657.705390013043,6771003.985922192,-29392872.139997754
51.0,6759708.071706014,390952.6093612683,-442.69736480848786,7657.208826328421,6771004.146908627,-29392872.1399973
52.0,6759261.039003598,398609.56745020795,-451.3677530056875,7656.702440780803,6771004.311079327,-29392872.13999684
53.0,6758805.3362000035,406266.0142428299,-460.0375615969037,7656.186234021872,6771004.478434082,-29392872.139996372
54.0,6758340.963880404,413921.93991825165,-468.7067794492333,7655.660206715952,6771004.648972676,-29392872.139995903
55.0,6757867.922641105,421577.3346562617,-477.37539543053697,7655.124359540003,6771004.822694891,-29392872.139995415
56.0,6757386.213089543,429232.18863733165,-486.04339840945323,7654.578693183623,6771004.9996005045,-29392872.139994923
57.0,6756895.835844287,436886.49204262893,-494.710777255413,7654.023208349047,6771005.179689288,-29392872.139994416
58.0,6756396.791535033,444540.23505402973,-503.3775208386539,7653.457905751146,6771005.362961012,-29392872.1399939
59.0,6755889.080802609,452193.40785413125,-512.0436180302346,7652.882786117424,6771005.5494154375,-29392872.139993384
60.0,6755372.704298972,459846.0006262646,-520.7090577020494,7652.297850188019,6771005.739052329,-29392872.139992855
61.0,6754847.662687206,467498.00355450733,-529.3738287268425,7651.703098715701,6771005.931871442,-29392872.139992308
62.0,6754313.956641519,475149.40682369604,-538.0379199782222,7651.098532465875,6771006.1278725285,-29392872.139991757
63.0,6753771.586847249,482800.20061943907,-546.7013203306757,7650.484152216572,6771006.327055335,-29392872.13999121
64.0,6753220.554000858,490450.37512812915,-555.3640186595829,7649.859958758455,6771006.529419608,-29392872.13999065
65.0,6752660.85880993,498099.920536956,-564.0260038412314,7649.225952894816,6771006.734965089,-29392872.139990065
66.0,6752092.501993176,505748.8270339188,-572.6872647528304,7648.582135441574,6771006.943691511,-29392872.13998949
67.0,6751515.484280425,513397.0848078392,-581.3477902725255,7647.928507227274,6771007.155598607,-29392872.139988888
