hoehe_km,r_m,g_ref,g_exp1,g_exp2,g_hybrid,dg_exp1,dg_exp2,dg_hybrid
0.0,6371000.0,9.81,9.81,9.81,9.81,0.0,0.0,0.0
23.951127819549292,6394951.127819549,9.73665446282035,9.755519609996965,9.738111062583142,9.73665446282035,0.018865147176613917,0.001456599762791555,0.0
47.90225563909765,6418902.255639098,9.664128425038985,9.701341779922053,9.666944172661186,9.664128425038985,0.037213354883068206,0.002815747622200604,0.0
71.85338345864695,6442853.383458647,9.592409723469824,9.647464829491584,9.596491110395576,9.592409723469824,0.05505510602175967,0.004081386925751218,0.0
95.8045112781953,6466804.511278195,9.521486419753087,9.593887087753433,9.526743753022107,9.521486419753087,0.07240066800034661,0.005257333269019782,0.0
119.7556390977446,6490755.639097745,9.451346795386772,9.540606893035196,9.457694073693313,9.451346795386772,0.08926009764842391,0.00634727830654036,0.0
143.70676691729295,6514706.766917293,9.381979346885814,9.487622592892668,9.389334140334746,9.381979346885814,0.1056432460068546,0.007354793448932639,0.0
167.65789473684225,6538657.894736842,9.313372781065087,9.43493254405858,9.321656114514864,9.313372781065087,0.12155976299349192,0.00828333344977672,0.0
191.6090225563906,6562609.022556391,9.245516010442753,9.382535112391645,9.254652250328487,9.245516010442753,0.13701910194889244,0.009136239885734199,0.0
215.5601503759399,6586560.15037594,9.178398148760332,9.330428672825867,9.188314893293569,9.178398148760332,0.15203052406553574,0.00991674453323732,0.0
239.5112781954892,6610511.278195489,9.112008506616256,9.278611609320153,9.122636479261159,9.112008506616256,0.16660310270389722,0.010627972644902783,0.0
263.4624060150376,6634462.406015038,9.04633658720953,9.22708231480818,9.057609533338416,9.04633658720953,0.18074572759865148,0.011272946128887185,0.0
287.4135338345869,6658413.533834587,8.981372082190362,9.175839191148562,8.99322666882446,8.981372082190362,0.19446710895820019,0.011854586634099107,0.0
311.3646616541352,6682364.661654135,8.917104867614754,9.124880649075278,8.929480586158979,8.917104867614754,0.20777578146052456,0.012375718544225478,0.0
335.3157894736845,6706315.7894736845,8.853525,9.074205108148389,8.866364071883371,8.853525,0.22068010814838956,0.012839071883371744,0.0
359.2669172932329,6730266.917293233,8.790622712478312,9.02381099670502,8.803869997614354,8.790622712478312,0.23318828422670812,0.013247285136042564,0.0
383.21804511278214,6754218.045112782,8.72838841104572,8.973696751810609,8.741991319029777,8.72838841104572,0.24530834076488794,0.0136029079840565,0.0
407.1691729323305,6778169.1729323305,8.66681267090362,8.923860819210446,8.680721074866621,8.66681267090362,0.25704814830682565,0.013908403963000637,0.0
431.1203007518798,6802120.30075188,8.605886232890299,8.874301653281455,8.620052385930924,8.605886232890299,0.26841542039115573,0.014166153040624963,0.0
455.07142857142816,6826071.428571428,8.5456,8.825017716984274,8.559978454119575,8.5456,0.2794177169842733,0.014378454119574613,0.0
479.02255639097746,6850022.556390977,8.485945033986992,8.776007481815567,8.50049256145378,8.485945033986992,0.29006244782857493,0.014547527466788779,0.0
502.97368421052676,6873973.684210527,8.426912552052348,8.727269427760636,8.441588069124107,8.426912552052348,0.30035687570828706,0.014675517071758293,0.0
526.9248120300751,6897924.812030075,8.36849392361111,8.678802043246268,8.383258416546902,8.36849392361111,0.3103081196351578,0.014764492935791296,0.0
550.8759398496244,6921875.939849624,8.310680667137605,8.63060382509385,8.325497120432026,8.310680667137605,0.3199231579562447,0.014816453294420384,0.0
574.8270676691727,6945827.067669173,8.2534644470868,8.582673278472772,8.268297773861722,8.2534644470868,0.3292088313859711,0.014833326774921218,0.0
598.7781954887221,6969778.195488722,8.196837070889574,8.535008916854032,8.21165404538047,8.196837070889574,0.3381718459644585,0.014816974490896584,0.0
622.7293233082704,6993729.32330827,8.140790486019892,8.487609261964167,8.155559678095763,8.140790486019892,0.3468187759442749,0.014769192075871018,0.0
646.6804511278198,7017680.45112782,8.08531677713194,8.440472843739377,8.100008488789575,8.08531677713194,0.3551560666074369,0.014691711657635054,0.0
670.6315789473681,7041631.578947368,8.030408163265307,8.393598200279953,8.04499436704052,8.030408163265307,0.3631900370146468,0.014586203775213136,0.0
694.5827067669173,7065582.706766917,7.976056995116346,8.346983877804924,7.9905112743564235,7.976056995116346,0.3709268826885781,0.014454279240077916,0.0
718.5338345864658,7089533.834586466,7.922255752373997,8.300628430606977,7.936553243317332,7.922255752373997,0.3783726782329806,0.014297490943334878,0.0
742.484962406015,7113484.962406015,7.868997041118253,8.254530421007614,7.883114376728712,7.868997041118253,0.38553337988936054,0.014117335610459136,0.0
766.4360902255643,7137436.090225564,7.816273591279671,8.208688419312566,7.830188846784812,7.816273591279671,0.3924148280328943,0.0139152555051405,0.0
790.3872180451127,7161387.218045113,7.764078254158231,8.163101003767455,7.777770894241991,7.764078254158231,0.399022749609224,0.013692640083760033,0.0
814.338345864662,7185338.345864662,7.712403999999999,8.11776676051369,7.725854827601938,7.712403999999999,0.40536276051369136,0.01345082760193872,0.0
838.2894736842103,7209289.47368421,7.66124391563007,8.072684283544634,7.674435022304671,7.66124391563007,0.4114403679145635,0.013191106674600661,0.0
862.2406015037596,7233240.60150376,7.610591202140257,8.027852174661973,7.623505919931144,7.610591202140257,0.41726097252171623,0.012914717790887487,0.0
886.191729323308,7257191.729323308,7.560439172630135,7.983269043432382,7.573062027415423,7.560439172630135,0.4228298708022473,0.01262285478528824,0.0
910.1428571428572,7281142.857142857,7.510781249999999,7.938933507144374,7.523097916266248,7.510781249999999,0.428152257144375,0.01231666626624861,0.0
